FASTQ_ID,PCR_ID,Sampling_date,Experiment_state,Type,ng/uL,A260/280,A260/230,Also_RNA
1498753,AF1,08_06_23,Adherent,R2,282,"1,88","1,72",No
1498754,AF2,15_06_23,Adherent,R2,"305,8","1,88","1,93",No
1498755,AF3,22_05_23,Adherent,R2,"366,1","1,9","2,12",No
1498728,AS1,08_06_23,Adherent,R1,"346,6","1,9","1,29",No
1498729,AS2,15_06_23,Adherent,R1,"370,2","1,9","1,73",No
1498730,AS3,22_05_23,Adherent,R1,"409,7","1,91","1,93",No
1498731,F1,21_03_23,Still_preparing,R2,382,1.91,1.33,No
1498740,F10,04_05_23,Started,R2,478.4,1.90,1.92,No
1498741,F11,09_05_23,Started,R2,402.6,1.90,1.31,No
1498742,F12,12_05_23,Started,R2,163.7,1.86,1.06,No
1498743,F13,18_05_23,Started,R2,267.4,1.89,1.82,No
1498744,F14,22_05_23,Almost_stabilized,R2,338.3,1.90,2.00,Yes
1498745,F15,26_05_23,Almost_stabilized,R2,269.9,1.89,1.79,No
1498746,F16,30_05_23,Almost_stabilized,R2,365.6,1.90,2.09,No
1498747,F17,06_06_23,Almost_stabilized,R2,325.9,1.89,1.83,No
1498748,F18,09_06_23,Almost_stabilized,R2,286.8,1.89,1.73,Yes
1498749,F19,13_06_23,Almost_stabilized,R2,"360,2","1,89","1,53",No
1498732,F2,24_03_23,Still_preparing,R2,386.7,1.90,1.86,No
1498750,F21,19_06_23,Almost_stabilized,R2,"397,3","1,9","2,07",No
1498751,F22,21_06_23,Almost_stabilized,R2,"361,1","1,89","1,5",No
1498752,F23,23_06_23,Almost_stabilized,R2,"332,9","1,89","2,04",No
Discarded,F3,27_03_23,Still_preparing,R2,361.7,1.89,1.56,No
1498734,F4,30_03_23,Still_preparing,R2,392.3,1.90,1.70,No
1498735,F5,04_04_23,Still_preparing,R2,401.7,1.89,2.02,No
1498736,F6,11_04_23,Still_preparing,R2,413,1.90,1.84,No
1498737,F7,14_04_23,Started,R2,431.7,1.90,1.26,No
1498738,F8,18_04_23,Started,R2,370.1,1.9,1.53,No
1498739,F9,27_04_23,Started,R2,422.3,1.91,1.96,No
1498733,GRANULI_LOTTI,16_06_23,Another_project,Another_project,256.0,1.87, 1.11,Another_project
1498706,S1,21_03_23,Still_preparing,R1,571,1.91,1.81,No
1498715,S10,04_05_23,Started,R1,406.2,1.90,1.96,No
1498716,S11,09_05_23,Started,R1,490.5,1.90,1.47,No
1498717,S12,12_05_23,Started,R1,472.2,1.90,1.52,No
1498718,S13,18_05_23,Started,R1,391.1,1.90,2.12,No
1498719,S14,22_05_23,Almost_stabilized,R1,258.5,1.89,1.94,Yes
1498720,S15,26_05_23,Almost_stabilized,R1,211.7,1.88,1.68,No
1498721,S16,30_05_23,Almost_stabilized,R1,364.6,1.90,2.12,No
1498722,S17,06_06_23,Almost_stabilized,R1,286.2,1.90,0.92,No
1498723,S18,09_06_23,Almost_stabilized,R1,271.7,1.89,1.32,Yes
1498724,S19,13_06_23,Almost_stabilized,R1,"323,1","1,9","1,98",No
1498707,S2,24_03_23,Still_preparing,R1,347.7,1.90,1.52,No
1498725,S21,19_06_23,Almost_stabilized,R1,"308,5","1,9","1,52",No
1498726,S22,21_06_23,Almost_stabilized,R1,"347,8","1,9","1,86",No
1498727,S23,23_06_23,Almost_stabilized,R1,"254,4","1,9","1,15",No
1498708,S3,27_03_23,Still_preparing,R1,388.7,1.90,1.99,No
1498709,S4,30_03_23,Still_preparing,R1,450,1.91,2.05,No
1498710,S5,04_04_23,Still_preparing,R1,237.8,1.88,1.88,No
1498711,S6,11_04_23,Still_preparing,R1,393.6,1.90,1.65,No
1498712,S7,14_04_23,Started,R1,429.4,1.90,2.09,No
1498713,S8,18_04_23,Started,R1,440.4,1.91,1.97,No
1498714,S9,27_04_23,Started,R1,445.4,1.91,1.99,No
