FASTQ_Code	Sample_Code	Old_Sample_name	Sample_name	Experiment_day	Owner	Sample_Type
1434041F1408552	1408552	AX1	AX1	86	Alex_R	Lab_Reactor
1434043F1408554	1408554	AX3	AX2	122	Alex_R	Lab_Reactor
1434045F1408556	1408556	AX5	AX3	266	Alex_R	Lab_Reactor
1434047F1408558	1408558	AX7	AX4	274	Alex_R	Lab_Reactor
1434050F1408561	1408561	AX10	AX7	318	Alex_R	Lab_Reactor
1434052F1408563	1408563	AX12	AX8	350	Alex_R	Lab_Reactor
1434055F1408566	1408566	AX15	AX9	410	Alex_R	Lab_Reactor
1434058F1408569	1408569	AX18	AX10	430	Alex_R	Lab_Reactor
1434059F1408570	1408570	AX19	AX11	497	Alex_R	Lab_Reactor
1434061F1408572	1408572	AX21	AX12	507	Alex_R	Lab_Reactor
1434063F1408574	1408574	AX23	AX13	555	Alex_R	Lab_Reactor
