Pannonibacter	PHA1	# spesso nominato	# sinonimi presi da Wikipedia o LPSN
Xanthobacter	PHA2		
Achromobacter	PHA3		
Ancylobacter	PHA4		
Gemmobacter	PHA5		
Lysobacter	PHA6		
Microbacterium	PHA7		
Rhodobacter	PHA8		
Bieblia	PHA8	# sinonimo di quella sopra	
Fuscovulum	PHA8	# sinonimo di quella sopra	
Phaeovulum	PHA8	# sinonimo di quella sopra	
Sphingomonas	PHA9		
Zooglea	PHA10		
Zoogloea	PHA10	# sinonimo di quella sopra	
Thauera	PHA11	# spesso nominato	
Azoarcus	PHA12	# spesso nominato, top produttore in fermented molasses	
Amaricoccus	PHA13		
Plasticicumulans	PHA14		
Paracoccus	PHA15	# Good for waste water, see    doi.org/10.1007/s00253-022-12318-x	
Acidovorax	PHA16		
Brevundimonas	PHA17		
Brachymonas	PHA18		
Aminobacter	PHA19		
Flavisolibacter	PHA20		
Flavosolibacter 	PHA20	# sinonimo di quella sopra	
Meganema	PHA21		
Neomegalonema	PHA21	# sinonimo di quella sopra	
Cupriavidus	PHA22		
Azohydromonas	PHA23		
Calidifontimicrobium	PHA23	# sinonimo di quella sopra	
Burkholderia	PHA24		
Pelomonas	PHA25		
Roseateles	PHA25	# sinonimo di quella sopra	
Paucibacter	PHA25	# sinonimo di quella sopra	
Mitsuaria	PHA25	# sinonimo di quella sopra	
Kinneretia	PHA25	# sinonimo di quella sopra	
Comamonas	PHA26		
Accumulibacter	PHA27		
Competibacter	PHA28		
Candidatus_Competibacter	PHA28	# sinonimo di quello sopra, vedi https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=221280	
Sphaerotilus	PHA29		
Neomegalonema	PHA30		
Bacillus	PHA31	# bacillus tropicus	
Caulobacter	PHA32		
Pseudomonas	PHA33		
Ralstonia	PHA34	# Initially included in Pseudomonoas	
Hydrogenophaga	PHA35		
Azospirillum	PHA36		
