FASTQ_ID,Sample_name,Experiment_day,Sample_Type,Reactor_Type,Experiment_state,Storage,Sampling_date,Also_RNA,_
1408525,A1,/,CuoioDepur_Aero,CuoioD_Aero,none,/,21_07_22,/,
1408526,A2,/,CuoioDepur_Aero,CuoioD_Aero,none,/,04_10_22,/,
1408530,A3,/,CuoioDepur_Aero,CuoioD_Aero,none,/,07_12_22,/,
1408532,A4,/,CuoioDepur_Aero,CuoioD_Aero,none,/,27_01_23,/,
1408540,P1,1,Inoculum,N_limitation,First_reactor,/,/,/,
1408541,P2,1,Inoculum,N_limitation,First_reactor,/,/,/,
1408542,P3,3,Inoculum,N_limitation,First_reactor,Gly100%,/,/,
1408543,P4,29,Inoculum,N_limitation,First_reactor,Gly100%,/,/,
1408544,P5,48,Inoculum,N_limitation,First_reactor,Gly100%,/,/,
1408545,P6,70,Inoculum,N_limitation,First_reactor,Gly100%,/,/,
1408546,P7,70,Inoculum,N_limitation,First_reactor,Gly100%,/,/,
1408547,P8,148,Inoculum,N_limitation,First_reactor,Gly25%,/,/,
1408548,P9,169,Inoculum,N_limitation,First_reactor,Gly25%,/,/,
1408549,P10,178,Inoculum,N_limitation,First_reactor,Gly25%,/,/,
1408550,P11,227,Inoculum,N_limitation,First_reactor,Gly25%,/,/,
1408551,P12,262,Inoculum,N_limitation,First_reactor,Gly25%,/,/,
1498731,F1,315,R2,P_limitation,Still_preparing,/,21_03_23,No,
1498732,F2,318,R2,P_limitation,Still_preparing,/,24_03_23,No,
Discarded,F3,321,R2,P_limitation,Still_preparing,/,27_03_23,No,
1498734,F4,324,R2,P_limitation,Still_preparing,/,30_03_23,No,
1498735,F5,329,R2,P_limitation,Still_preparing,/,04_04_23,No,
1498736,F6,336,R2,P_limitation,Still_preparing,/,11_04_23,No,
1498737,F7,339,R2,P_limitation,Started,/,14_04_23,No,
1498738,F8,343,R2,P_limitation,Started,/,18_04_23,No,
1498739,F9,352,R2,P_limitation,Started,/,27_04_23,No,
1498740,F10,359,R2,P_limitation,Started,/,04_05_23,No,
1498741,F11,364,R2,P_limitation,Started,/,09_05_23,No,
1498742,F12,367,R2,P_limitation,Started,/,12_05_23,No,
1498743,F13,373,R2,P_limitation,Started,/,18_05_23,No,
1498744,F14,377,R2,P_limitation,Almost_stabilized,/,22_05_23,Yes,
1498745,F15,381,R2,P_limitation,Almost_stabilized,/,26_05_23,No,
1498746,F16,385,R2,P_limitation,Almost_stabilized,/,30_05_23,No,
1498747,F17,392,R2,P_limitation,Almost_stabilized,/,06_06_23,No,
1498748,F18,395,R2,P_limitation,Almost_stabilized,/,09_06_23,Yes,
1498749,F19,399,R2,P_limitation,Almost_stabilized,/,13_06_23,No,
1498750,F20,405,R2,P_limitation,Almost_stabilized,/,19_06_23,No,
1498751,F21,407,R2,P_limitation,Almost_stabilized,/,21_06_23,No,
1498752,F22,409,R2,P_limitation,Almost_stabilized,/,23_06_23,No,
1498706,S1,315,R1,P_limitation,Still_preparing,/,21_03_23,No,
1498707,S2,318,R1,P_limitation,Still_preparing,/,24_03_23,No,
1498708,S3,321,R1,P_limitation,Still_preparing,/,27_03_23,No,
1498709,S4,324,R1,P_limitation,Still_preparing,/,30_03_23,No,
1498710,S5,329,R1,P_limitation,Still_preparing,/,04_04_23,No,
1498711,S6,336,R1,P_limitation,Still_preparing,/,11_04_23,No,
1498712,S7,339,R1,P_limitation,Started,/,14_04_23,No,
1498713,S8,343,R1,P_limitation,Started,/,18_04_23,No,
1498714,S9,352,R1,P_limitation,Started,/,27_04_23,No,
1498715,S10,359,R1,P_limitation,Started,/,04_05_23,No,
1498716,S11,364,R1,P_limitation,Started,/,09_05_23,No,
1498717,S12,367,R1,P_limitation,Started,/,12_05_23,No,
1498718,S13,373,R1,P_limitation,Started,/,18_05_23,No,
1498719,S14,377,R1,P_limitation,Almost_stabilized,/,22_05_23,Yes,
1498720,S15,381,R1,P_limitation,Almost_stabilized,/,26_05_23,No,
1498721,S16,385,R1,P_limitation,Almost_stabilized,/,30_05_23,No,
1498722,S17,392,R1,P_limitation,Almost_stabilized,/,06_06_23,No,
1498723,S18,395,R1,P_limitation,Almost_stabilized,/,09_06_23,Yes,
1498724,S19,399,R1,P_limitation,Almost_stabilized,/,13_06_23,No,
1498725,S20,405,R1,P_limitation,Almost_stabilized,/,19_06_23,No,
1498726,S21,407,R1,P_limitation,Almost_stabilized,/,21_06_23,No,
1498727,S22,409,R1,P_limitation,Almost_stabilized,/,23_06_23,No,
1498753,AF1,394,R2,P_limitation,Adherent,/,08_06_23,No,
1498754,AF2,401,R2,P_limitation,Adherent,/,15_06_23,No,
1498755,AF3,408,R2,P_limitation,Adherent,/,22_05_23,No,
1498728,AS1,394,R1,P_limitation,Adherent,/,08_06_23,No,
1498729,AS2,401,R1,P_limitation,Adherent,/,15_06_23,No,
1498730,AS3,408,R1,P_limitation,Adherent,/,22_05_23,No,
