FASTQ_ID;Sample_name;Experiment_day;Sample_Type;Reactor_Type;Experiment_state;Sampling_date
1408540;N1;1;Inoculum;N_limitation;N_lim_reactor;Not_known
1408541;N2;1;Inoculum;N_limitation;N_lim_reactor;Not_known
1408542;N3;3;Inoculum;N_limitation;N_lim_reactor;Not_known
1408543;N4;29;Inoculum;N_limitation;N_lim_reactor;Not_known
1408544;N5;48;Inoculum;N_limitation;N_lim_reactor;Not_known
1408545;N6;70;Inoculum;N_limitation;N_lim_reactor;Not_known
1408546;N7;70;Inoculum;N_limitation;N_lim_reactor;Not_known
1408547;N8;148;Inoculum;N_limitation;N_lim_reactor;Not_known
1408548;N9;169;Inoculum;N_limitation;N_lim_reactor;Not_known
1408549;N10;178;Inoculum;N_limitation;N_lim_reactor;Not_known
1408550;N11;227;Inoculum;N_limitation;N_lim_reactor;Not_known
1408551;N12;262;Inoculum;N_limitation;N_lim_reactor;Not_known
1498706;S1;315;R1;P_limitation;New_reactor;21_03_23
1498707;S2;318;R1;P_limitation;New_reactor;24_03_23
1498708;S3;321;R1;P_limitation;New_reactor;27_03_23
1498709;S4;324;R1;P_limitation;New_reactor;30_03_23
1498710;S5;329;R1;P_limitation;New_reactor;04_04_23
1498711;S6;336;R1;P_limitation;New_reactor;11_04_23
1498712;S7;339;R1;P_limitation;New_condition;14_04_23
1498713;S8;343;R1;P_limitation;New_condition;18_04_23
1498714;S9;352;R1;P_limitation;New_condition;27_04_23
1498715;S10;359;R1;P_limitation;New_condition;04_05_23
1498716;S11;364;R1;P_limitation;New_condition;09_05_23
1498717;S12;367;R1;P_limitation;New_condition;12_05_23
1498718;S13;373;R1;P_limitation;New_condition;18_05_23
1498719;S14;377;R1;P_limitation;Almost_stabilized;22_05_23
1498720;S15;381;R1;P_limitation;Almost_stabilized;26_05_23
1498721;S16;385;R1;P_limitation;Almost_stabilized;30_05_23
1498722;S17;392;R1;P_limitation;Almost_stabilized;06_06_23
1498723;S18;395;R1;P_limitation;Almost_stabilized;09_06_23
1498724;S19;399;R1;P_limitation;Almost_stabilized;13_06_23
1498725;S20;405;R1;P_limitation;Almost_stabilized;19_06_23
1498726;S21;407;R1;P_limitation;Almost_stabilized;21_06_23
1498727;S22;409;R1;P_limitation;Almost_stabilized;23_06_23
