Overall_averages;Averages_Full_scales;Averages_Pilot_scales;Averages_Lab_scales;Genus;Euk_clade;Domain
0,02181;0,03579;0,01089;0,00661;Rotaria;Rotifera;Eukaryota
0,00584;0,00759;0,00201;0,00431;Symbiodinium;Protozoa;Eukaryota
0,00491;0,00081;0,00043;0,01058;Diploscapter;Nematoda;Eukaryota
0,00267;0,00109;0,00257;0,00459;Rhizopus;Fungi;Eukaryota
0,00256;0,00003;0,00001;0,00603;Vanrija;Fungi;Eukaryota
0,002;0,00006;0,00001;0,00467;Cutaneotrichosporon;Fungi;Eukaryota
0,00154;0,00001;0,00004;0,00363;Trichosporon;Fungi;Eukaryota
0,00152;0,00203;0,00043;0,00108;Adineta;Rotifera;Eukaryota
0,00151;0,0029;0,00009;0,00005;Pythium;Protozoa;Eukaryota
0,0012;0,00186;0,00266;0,00016;Methanothrix;No_euk;Archaea
0,00112;0,00204;0,00031;0,00014;Stentor;Protozoa;Eukaryota
0,00109;0,00142;0,00143;0,00064;Tetrahymena;Protozoa;Eukaryota
0,00107;0,00056;0,00147;0,00162;Candidatus_Nitrosopumilus;No_euk;Archaea
0,00104;0,00122;0,00111;0,0008;Aspergillus;Fungi;Eukaryota
0,00094;0,00068;0,00093;0,00127;Brugia;Nematoda;Eukaryota
0,00089;0,0003;0,00019;0,00172;Metschnikowia;Fungi;Eukaryota
0,00088;0,00111;0,00111;0,00055;Methanosarcina;No_euk;Archaea
0,00088;0,00101;0,00034;0,00082;Russula;Fungi;Eukaryota
0,0008;0,00145;0,0003;0,0001;Batrachochytrium;Fungi;Eukaryota
0,00077;0,00147;0,00003;0,00005;Phytophthora;Protozoa;Eukaryota
0,00073;0,00094;0,00085;0,00046;Ichthyophthirius;Protozoa;Eukaryota
0,0007;0,00094;0,00053;0,00044;Methanobacteriota;No_euk;Archaea
0,0007;0,00089;0,00099;0,00042;Pseudocohnilembus;Protozoa;Eukaryota
0,00069;0,00121;0,00037;0,00011;Blepharisma;Protozoa;Eukaryota
0,00066;0,00059;0,00054;0,00076;Lipomyces;Fungi;Eukaryota
0,00061;0,00002;0,00003;0,00143;Kwoniella;Fungi;Eukaryota
0,00058;0,00112;0,00003;0,00001;Globisporangium;Protozoa;Eukaryota
0,00054;0,0008;0,00059;0,00022;Stylonychia;Protozoa;Eukaryota
0,00053;0,00066;0,00201;0,00014;Methanobacterium;No_euk;Archaea
0,00048;0,0001;0,0001;0,00101;Pristionchus;Nematoda;Eukaryota
0,00046;0,00075;0,0008;0,00005;Methanomethylovorans;No_euk;Archaea
0,00046;0,00088;0,00002;0,00001;Lagenidium;Protozoa;Eukaryota
0,00038;0,00057;0,00037;0,00014;Candidatus_Woesearchaeota;No_euk;Archaea
0,00038;0,00001;0,00003;0,00088;Tremellales;Fungi;Eukaryota
0,00035;0,0006;0,00024;0,00008;Methanoregula;No_euk;Archaea
0,00035;0,00064;0,00005;0,00005;Methanosphaerula;No_euk;Archaea
0,00026;0,00039;0,00025;0,00012;Moneuplotes;Protozoa;Eukaryota
0,00025;0,00046;0,00008;0,00003;Methanocalculus;No_euk;Archaea
0,0002;0,00003;0,00002;0,00043;Amanita;Fungi;Eukaryota
0,00018;0,00005;0,00001;0,00037;Diversispora;Fungi;Eukaryota
0,00016;0,00003;0;0,00034;Atractiella;Fungi;Eukaryota
